Last,Style,Name,Leather,Color,Outsole,Welt
Aberdeen,Full Strap,Brooks Brothers,Shell Cordovan,Color 8,Single Leather,270 Flat Welt
Aberdeen,Tassel,Brooks Brothers,Calfskin,Dark Brown,Single Leather,270 Flat Welt
Aberdeen,Tassel,Brooks Brothers,Calfskin,Burnished Tan,Single Leather,270 Flat Welt
Aberdeen,Tassel,Brooks Brothers,Shell Cordovan,Black,Single Leather,270 Flat Welt
Aberdeen,Tassel,Brooks Brothers,Shell Cordovan,Color 8,Single Leather,270 Flat Welt
Van,LHS / Penny,Brooks Brothers,Shell Cordovan,Black,Single Leather,360 Flat Welt
Van,LHS / Penny,Brooks Brothers,Shell Cordovan,Color 8,Single Leather,360 Flat Welt
Aberdeen,Full Strap,Brooks Brothers,Shell Cordovan,Color 8,Single Leather,270 Flat Welt
Copley,LHS / Penny,Brooks Brothers,Calfskin,Black,Single Leather,360 Flat Welt
Copley,LHS / Penny,,Calfskin,Burnished Tan,Single Leather,360 Flat Welt
Copley,LHS / Penny,Brooks Brothers,Suede,Dark Brown,Single Leather,360 Flat Welt
Aberdeen,Tassel,Brooks Brothers,Shell Cordovan,Black,Single Leather,270 Flat Welt
Aberdeen,Tassel,,Calfskin,Black,Single Leather,270 Flat Welt
Aberdeen,Tassel,Brooks Brothers,Suede,Dark Brown,Single Leather,270 Flat Welt
Aberdeen,Tassel,Brooks Brothers,Calfskin,Brown,Single Leather,270 Flat Welt
Aberdeen,Tassel,Brooks Brothers,Calfskin,Dark Burgundy,Single Leather,270 Flat Welt
Aberdeen,Tassel,Brooks Brothers,Calfskin,Black,Single Leather,270 Flat Welt
Grant,Full Strap,Brooks Brothers,Calfskin,Dark Brown,Single Leather,270 Flat Welt
Grant,Full Strap,Brooks Brothers,Scotch Grain,Burgundy,Single Leather,270 Flat Welt
Grant,Full Strap,Brooks Brothers,Regina Grain,Black,Single Leather,270 Flat Welt
Grant,Full Strap,Brooks Brothers,Calfskin,Tan,Single Leather,270 Flat Welt
Aberdeen,Full Strap,,Suede,Snuff,Single Leather,270 Flat Welt
Aberdeen,Full Strap,Brooks Brothers,Shell Cordovan,Ravello,Single Leather,270 Flat Welt
Aberdeen,Full Strap,Brooks Brothers,Shell Cordovan,Color 8,Single Leather,270 Flat Welt
Aberdeen,Full Strap,,Shell Cordovan,Color 8,Single Leather,270 Flat Welt
Aberdeen,Full Strap,,Shell Cordovan,Color 8,Single Leather,270 Flat Welt
Aberdeen,Full Strap,Brooks Brothers,Calfskin,Black,Single Leather,270 Flat Welt
Aberdeen,Full Strap,Brooks Brothers,Calfskin,Burgundy,Single Leather,270 Flat Welt
Aberdeen,Tassel,Brooks Brothers,Calfskin,Snuff,Single Leather,270 Flat Welt
Aberdeen,Tassel,,Calfskin,Black,Single Leather,270 Flat Welt
Aberdeen,Full Strap,Brooks Brothers,Shell Cordovan,Color 8,Single Leather,270 Flat Welt
Aberdeen,Tassel,Brooks Brothers,Calfskin,Black,Single Leather,270 Flat Welt
Aberdeen,Tassel,Brooks Brothers,Calfskin,Cognac,Single Leather,270 Flat Welt
Aberdeen,Tassel,Brooks Brothers,Shell Cordovan,Black,Single Leather,270 Flat Welt
Aberdeen,Tassel,Brooks Brothers,Shell Cordovan,Color 8,Single Leather,270 Flat Welt
Van,LHS / Penny,Brooks Brothers,Shell Cordovan,Black,Single Leather,360 Flat Welt
Van,LHS / Penny,Brooks Brothers,Shell Cordovan,Color 8,Single Leather,360 Flat Welt
Aberdeen,Full Strap,Brooks Brothers,Shell Cordovan,Black,Single Leather,270 Flat Welt
Aberdeen,Tassel,Brooks Brothers,Calfskin,Black,Single Leather,270 Flat Welt
Aberdeen,Full Strap,Brooks Brothers,Calfskin,Black,Single Leather,270 Flat Welt
Aberdeen,Full Strap,Brooks Brothers,Calfskin,Burgundy,Single Leather,270 Flat Welt
Aberdeen,Full Strap,Brooks Brothers,Shell Cordovan,Color 8,Single Leather,270 Flat Welt
Aberdeen,Full Strap,Brooks Brothers,Shell Cordovan,Black,Single Leather,270 Flat Welt
Grant,Norwegian Split Toe,,Shell Cordovan,Color 8,Single Leather,270 Flat Welt
Grant,Norwegian Split Toe,,Shell Cordovan,Cigar,Single Leather,270 Flat Welt
Grant,Norwegian Split Toe,,Shell Cordovan,Black,Single Leather,270 Flat Welt
Aberdeen,Norwegian Split Toe,,Shell Cordovan,Color 8,Single Leather,270 Flat Welt
Aberdeen,Tassel,,Calfskin,Black,Single Leather,270 Flat Welt
(no data),Wing Tip,,Shell Cordovan,Color 8,Single Leather,270 Flat Welt
Plaza,LHS / Penny,,Calfskin,Black,Single Leather,270 Flat Welt
Aberdeen,Tassel,,Calfskin,Tan,Single Leather,270 Flat Welt
Aberdeen,Tassel,,Shell Cordovan,Black,Single Leather,270 Flat Welt
Van,LHS / Penny,,Shell Cordovan,Black,Single Leather,270 Flat Welt
Van,LHS / Penny,,Shell Cordovan,Color 8,Single Leather,360 Flat Welt
Van,LHS / Penny,,Shell Cordovan,Whiskey,Single Leather,360 Flat Welt
Elle,Tassel,,Shell Cordovan,Color 8,Single Leather,270 Flat Welt
Mitch,LHS / Penny,,Shell Cordovan,Color 8,Single Leather,270 Flat Welt
(no data),Horse Bit,,Suede,Black,Single Leather,270 Flat Welt
(no data),LHS / Penny,,Calfskin,Burgundy,Single Leather,270 Flat Welt
Aberdeen,Other,,Calfskin,Tan,Single Leather,270 Flat Welt
Van,LHS / Penny,,Chromexcel,Brown,Single Leather,360 Flat Welt
Van,LHS / Penny,Unlined Leisure Handsewn,Chromexcel,Brown,Single Leather,360 Flat Welt
Van,LHS / Penny,,Alpine Grain,Brown,Rubber,360 Flat Welt
Van,LHS / Penny,,Chromexcel,Natural,Single Leather,360 Flat Welt
Van,LHS / Penny,,Chromexcel,Navy,Single Leather,360 Flat Welt
Van,LHS / Penny,,Chromexcel,Navy,Single Leather,360 Flat Welt
Van,LHS / Penny,,Chromexcel,Navy,Single Leather,360 Flat Welt
Van,LHS / Penny,Unlined Leisure Handsewn,Chromexcel,Black,Single Leather,360 Flat Welt
(no data),Tassel,,Suede,Tan,Single Leather,270 Flat Welt
Aberdeen,Tassel,,Suede,Snuff,Single Leather,270 Flat Welt
Aberdeen,Tassel,,Alpine Grain,Cognac,Single Leather,270 Flat Welt
Aberdeen,Tassel,,Chromexcel,Natural,Single Leather,270 Flat Welt
(no data),LHS / Penny,,Calfskin,Black,Single Leather,270 Flat Welt
Aberdeen,Other,,Shell Cordovan,Color 8,Single Leather,270 Flat Welt
Aberdeen,Other,,Shell Cordovan,Color 8,Single Leather,270 Flat Welt
Aberdeen,Other,,Shell Cordovan,Black,Single Leather,270 Flat Welt
(no data),LHS / Penny,,Calfskin,Burgundy,Single Leather,(no data)
(no data),Full Strap,,Calfskin,Burgundy,Single Leather,(no data)
Aberdeen,LHS / Penny,,Shell Cordovan,Color 8,Single Leather,270 Flat Welt
Aberdeen,Tassel,,Suede,Milkshake,Single Leather,270 Flat Welt
Aberdeen,Tassel,,Suede,Tan,Single Leather,270 Flat Welt
Aberdeen,Tassel,,Suede,Snuff,Single Leather,270 Flat Welt
Aberdeen,Tassel,,Kid Suede,Snuff,Single Leather,270 Flat Welt
Aberdeen,Tassel,,Suede,Snuff,Single Leather,270 Flat Welt
Aberdeen,Tassel,,Suede,Tan,(no data),270 Flat Welt
Aberdeen,Tassel,,Suede,Snuff,Single Leather,270 Flat Welt
Aberdeen,Tassel,,Suede,Navy,Single Leather,270 Flat Welt
Aberdeen,Tassel,,Suede,Dark Brown,Single Leather,270 Flat Welt
Aberdeen,Tassel,,Suede,Loden Green,Single Leather,270 Flat Welt
Aberdeen,Full Strap,,Shell Cordovan,Color 8,Single Leather,270 Flat Welt
Van,LHS / Penny,,Shell Cordovan,Black,Single Leather,360 Flat Welt
Van,LHS / Penny,,Shell Cordovan,Color 8,Single Leather,360 Flat Welt
Aberdeen,Tassel,,Shell Cordovan,Black,Single Leather,270 Flat Welt
Aberdeen,Tassel,,Shell Cordovan,Color 8,Single Leather,270 Flat Welt
Plaza,LHS / Penny,,Suede,Sand,Single Leather,270 Flat Welt
Plaza,LHS / Penny,,Suede,Snuff,Single Leather,270 Flat Welt
(no data),LHS / Penny,,Suede,Snuff,Single Leather,270 Flat Welt
Plaza,LHS / Penny,,Suede,Navy,Single Leather,270 Flat Welt
Plaza,LHS / Penny,,Calfskin,Brown,Single Leather,270 Flat Welt
Plaza,LHS / Penny,BRADLEY LOAFER,Chromexcel,Brown,Single Leather,270 Flat Welt
Plaza,LHS / Penny,LeatherSoul Bradley loafer,Lady Calf,Black,Single Leather,270 Flat Welt
Plaza,LHS / Penny,Plaza Slip-On,Kid Suede,Mocha,Single Leather,270 Flat Welt
Plaza,LHS / Penny,Plaza Slip-On,Calfskin,Burnished Dark Tan,Single Leather,270 Flat Welt
Plaza,LHS / Penny,Plaza Slip-On,Calfskin,Black,Single Leather,270 Flat Welt
Plaza,LHS / Penny,,Shell Cordovan,Black,Single Leather,270 Flat Welt
(no data),Slip-On,,Calfskin,Black,Single Leather,270 Flat Welt
Aberdeen,Slip-On,,Shell Cordovan,Color 8,Single Leather,270 Flat Welt
Aberdeen,Tassel,,Suede,Black,Single Leather,270 Flat Welt
Aberdeen,Tassel,,Suede,Black,Single Leather,270 Flat Welt
(no data),Tassel,,Suede,Brown,(no data),(no data)
Aberdeen,Tassel,,Nubuck,Black,Single Leather,270 Flat Welt
Hampton,Tassel,,Suede,Navy,Single Leather,270 Flat Welt
Aberdeen,Tassel,,Suede,Navy,Single Leather,270 Flat Welt
Aberdeen,Tassel,,Kid Suede,Navy,(no data),270 Flat Welt
Aberdeen,Tassel,,Nubuck,White,Single Leather,270 Flat Welt
(no data),Tassel,,Suede,Navy,(no data),(no data)
Aberdeen,Tassel,,Shell Cordovan,Whiskey,Single Leather,270 Flat Welt
Aberdeen,Tassel,,Calfskin,Black,Single Leather,270 Flat Welt
Aberdeen,Tassel,,Chromexcel,Natural,(no data),270 Flat Welt
Aberdeen,Tassel,,Chromexcel,Brown,Single Leather,270 Flat Welt
Aberdeen,Tassel,,Shell Cordovan,Ravello,Single Leather,270 Flat Welt
Aberdeen,Tassel,,Shell Cordovan,Cigar,Single Leather,270 Flat Welt
Aberdeen,Tassel,,Suede,Snuff,Single Leather,270 Flat Welt
Aberdeen,Tassel,,Shell Cordovan,Color 8,Single Leather,270 Flat Welt
Aberdeen,Tassel,,Shell Cordovan,Black,Single Leather,270 Flat Welt
Copley,Tassel,,Lady Calf,Brown,Single Leather,270 Flat Welt
Aberdeen,Tassel,,Calfskin,Tan,Single Leather,270 Flat Welt
Aberdeen,Tassel,,Suede,Tan,Single Leather,270 Flat Welt
Aberdeen,Tassel,,Suede,White,(no data),270 Flat Welt
Copley,Tassel,,Calfskin,Brown,Single Leather,270 Flat Welt
Copley,Tassel,,Lady Calf,Loden Green,Single Leather,270 Flat Welt
Copley,Tassel,,Calfskin,Dark Brown,Single Leather,270 Flat Welt
Aberdeen,Tassel,,Suede,Navy,Single Leather,270 Flat Welt
Copley,Tassel,Sutter Tassel Mocc,Suede,Navy,Single Leather,(no data)
Copley,Tassel,,Calfskin,Black,Single Leather,270 Flat Welt
Copley,Tassel,,Calfskin,Cognac,Single Leather,270 Flat Welt
Aberdeen,Tassel,,Suede,Dark Brown,Single Leather,270 Flat Welt
Aberdeen,Tassel,,Kid Suede,Mocha,Single Leather,270 Flat Welt
Aberdeen,Tassel,,Calfskin,Burnished Tan,(no data),270 Flat Welt
Aberdeen,Tassel,,Suede,Brown,Plantation Crepe,270 Flat Welt
Plaza,Tassel,Brick+Mortar Bright Tassel LS0062,Suede,Snuff,Single Leather,270 Flat Welt
Aberdeen,Tassel,,Shell Cordovan,Color 8,Single Leather,270 Flat Welt
(no data),Tassel,,Calfskin,Burgundy,Single Leather,(no data)
Aberdeen,Tassel,,Shell Cordovan,Black,Single Leather,270 Flat Welt
Van,LHS / Penny,Unlined Leisure Handsewn,Shell Cordovan,Whiskey,Single Leather,360 Flat Welt
Plaza,LHS / Penny,,Shell Cordovan,Color 8,Single Leather,270 Flat Welt
Aberdeen,Tassel,,Shell Cordovan,Color 8,Single Leather,270 Flat Welt
(no data),Tassel,,Calfskin,Black,Single Leather,270 Flat Welt
Aberdeen,Tassel,,Calfskin,Black,Single Leather,270 Flat Welt
Copley,Venetian,,Shell Cordovan,Color 8,Single Leather,270 Flat Welt
Aberdeen,Tassel,,Shell Cordovan,Color 8,Single Leather,270 Flat Welt
Aberdeen,Tassel,,Shell Cordovan,Black,Single Leather,270 Flat Welt
Aberdeen,Tassel,,Shell Cordovan,Color 8,Single Leather,270 Flat Welt
Aberdeen,Tassel,,Shell Cordovan,Black,Single Leather,270 Flat Welt
Aberdeen,Tassel,,Calfskin,Tan,Single Leather,270 Flat Welt
(no data),Tassel,,Suede,Brown,Single Leather,270 Flat Welt
TruTred,Slip-On,,Calfskin,Black,Single Leather,270 Flat Welt
Barrie,Slip-On,,Calfskin,Black,Wedge,360 Flat Welt
Van,LHS / Penny,,Calfskin,Brown,Single Leather,360 Flat Welt
Aberdeen,Tassel,Brooks Brothers,Calfskin,Dark Brown,Single Leather,270 Flat Welt
Aberdeen,Tassel,,Suede,Black,Single Leather,270 Flat Welt
(no data),Tassel,,Calfskin,Black,Single Leather,270 Flat Welt
(no data),Tassel,,Calfskin,Burgundy,Single Leather,270 Flat Welt
(no data),LHS / Penny,,(no data),Black,(no data),(no data)
(no data),LHS / Penny,,Scotch Grain,Navy,Rubber,(no data)
Aberdeen,Tassel,Long Wing Tassel,Calfskin,Black,Single Leather,270 Flat Welt
Aberdeen,Tassel,Long Wing Tassel,Calfskin,Burgundy,Single Leather,270 Flat Welt
(no data),Tassel,,Calfskin,Brown,(no data),(no data)
Aberdeen,Tassel,Tassel Mocc,Calfskin,Walnut,Single Leather,270 Flat Welt
Aberdeen,Tassel,Tassel Mocc,Calfskin,Dark Brown,Single Leather,270 Flat Welt
(no data),Tassel,,(no data),Tan,(no data),(no data)
Aberdeen,Tassel,Tassel Mocc,Shell Cordovan,Color 8,Single Leather,270 Flat Welt
Aberdeen,Full Strap,,Shell Cordovan,Cigar,Single Leather,270 Flat Welt
(no data),Horse Bit,,Calfskin,Black,Single Leather,270 Flat Welt
TruSquare,LHS / Penny,,Calfskin,Black,Single Leather,270 Flat Welt
Van,Horse Bit,,Chromexcel,Brown,Lug,360 Flat Welt
TruSquare,LHS / Penny,,Calfskin,Brown,Single Leather,270 Flat Welt
Van,Horse Bit,,Suede,Brown,Lug,360 Flat Welt
Van,Horse Bit,,Aniline,Brown,Lug,360 Flat Welt
Van,Horse Bit,,Calfskin,Cognac,Single Leather,360 Flat Welt
Van,Horse Bit,,Calfskin,Dark Brown,Single Leather,360 Flat Welt
Van,Horse Bit,Leisure Handsewn,Calfskin,Black,Single Leather,360 Flat Welt
Grant,LHS / Penny,,Kidskin,Burgundy,Single Leather,270 Flat Welt
Van,LHS / Penny,,Kudu,Dark Brown,Goodyear,360 Flat Welt
Grant,Full Strap,,Kidskin,Black,Single Leather,270 Flat Welt
(no data),Tassel,,Kidskin,Black,Single Leather,270 Flat Welt
(no data),Tassel,,Calfskin,Brown,Single Leather,270 Flat Welt
Leydon,LHS / Penny,,Shell Cordovan,Color 8,Single Leather,270 Flat Welt
Aberdeen,Tassel,Ben Silver Summer Tassel Loafer,Calfskin / Nubuck,Tan / White,Single Leather,270 Flat Welt
Aberdeen,Tassel,,Calfskin,Tan,Single Leather,270 Flat Welt
Aberdeen,Tassel,,Alpine Grain / Suede,Tan / White,Single Leather,270 Flat Welt
Aberdeen,Tassel,,Shell Cordovan,Color 8,Single Leather,270 Flat Welt
Aberdeen,Tassel,,Calfskin,Cognac,Single Leather,270 Flat Welt
Aberdeen,Tassel,,Calfskin,Burgundy,Single Leather,270 Flat Welt
Aberdeen,Tassel,,Nubuck,Brown,(no data),270 Flat Welt
Aberdeen,Wing Tip,,Calfskin,Brown,Single Leather,270 Flat Welt
Aberdeen,Tassel,,Calfskin,Black,Single Leather,270 Flat Welt
Aberdeen,Tassel,,Calfskin,Brown,Single Leather,270 Flat Welt
Van,LHS / Penny,,Calfskin,Black,Single Leather,360 Flat Welt
Van,LHS / Penny,,Calfskin,Dark Brown,Single Leather,360 Flat Welt
Van,LHS / Penny,,Suede,Black,Single Leather,360 Flat Welt
Van,LHS / Penny,Unionmade Brenham Leisure Handsewn,Suede,Black,Single Leather,360 Flat Welt
Van,LHS / Penny,,Suede,Snuff,Single Leather,360 Flat Welt
Van,LHS / Penny,Unlined Penny Loafer,Suede,Snuff,Single Leather,360 Flat Welt
Van,LHS / Penny,,Suede,Navy,Single Leather,360 Flat Welt
Van,LHS / Penny,,Suede,White,Single Leather,360 Flat Welt
Van,LHS / Penny,,Suede,Hunting Green,Single Leather,360 Flat Welt
Van,LHS / Penny,,Suede,White,Single Leather,360 Flat Welt
Van,LHS / Penny,,Suede,White,Single Leather,360 Flat Welt
Van,LHS / Penny,Unlined Penny Loafer,Suede,Tan,Single Leather,360 Flat Welt
Van,LHS / Penny,Anatomica,Reverse Chamois,Navy,Single Leather,270 Flat Welt
Van,LHS / Penny,,Suede,Hunting Green,Single Leather,270 Flat Welt
Van,LHS / Penny,,Suede,Hunting Green,Single Leather,360 Flat Welt
Van,LHS / Penny,Unlined Penny Loafer,Suede,Dark Brown,Single Leather,360 Flat Welt
Van,Tassel,,Calfskin,Dark Brown,Single Leather,360 Flat Welt
Aberdeen,Tassel,,Calfskin,Burgundy,Single Leather,270 Flat Welt
(no data),,,(no data),Black,(no data),(no data)
Aberdeen,Wing Tip,,Calfskin,Burgundy,Single Leather,270 Flat Welt
Aberdeen,Tassel,Tassel Mocc,Calfskin,Black,Single Leather,270 Flat Welt
Aberdeen,Tassel,Tassel Mocc,Calfskin,Burnished Tan,Single Leather,270 Flat Welt
Aberdeen,Tassel,Tassel Mocc,Calfskin,Burgundy,Single Leather,270 Flat Welt
Aberdeen,Tassel,Tassel Mocc,Shell Cordovan,Black,Single Leather,270 Flat Welt
Aberdeen,Tassel,Tassel Mocc,Kid Suede,Mocha,Single Leather,270 Flat Welt
(no data),Tassel,,Calfskin,Brown,(no data),(no data)
Aberdeen,Tassel,,Calfskin,Black,Single Leather,270 Flat Welt
Van,LHS / Penny,,Chromexcel,Navy,Single Leather,360 Flat Welt
(no data),LHS / Penny,,(no data),Tan,(no data),(no data)
Van,LHS / Penny,,Calfskin,Brown,Single Leather,360 Flat Welt
Van,LHS / Penny,,Shell Cordovan,Color 8,Single Leather,360 Flat Welt
